#  S/390 opcodes list. Use s390-mkopc to convert it into the opcode table.
#  Copyright 2000, 2001 Free Software Foundation, Inc.
#  Contributed by Martin Schwidefsky (schwidefsky@de.ibm.com).
e3000000000f lrvg RXE_RRRD "load reversed 64" esame
e30000000016 llgf RXE_RRRD "load logical 64<32" esame
e30000000017 llgt RXE_RRRD "load logical thirty one bits" esame
e3000000001d dsgf RXE_RRRD "divide single 64<32" esame
e3000000001e lrv RXE_RRRD "load reversed 32" esame
e3000000001f lrvh RXE_RRRD "load reversed 16" esame
e3000000002f strvg RXE_RRRD "store reversed 64" esame
e3000000003e strv RXE_RRRD "store reversed 32" esame
e3000000003f strvh RXE_RRRD "store reversed 64" esame
e30000000086 mlg RXE_RRRD "multiply logical 64" esame
e30000000087 dlg RXE_RRRD "divide logical 64" esame
e30000000088 alcg RXE_RRRD "add logical with carry 64" esame
e30000000089 slbg RXE_RRRD "subtract logical with borrow 64" esame
e3000000008e stpq RXE_RRRD "store pair to quadword" esame
e3000000008f lpq RXE_RRRD "load pair from quadword" esame
e30000000096 ml RXE_RRRD "multiply logical 32" esame
e30000000097 dl RXE_RRRD "divide logical 32" esame
e30000000098 alc RXE_RRRD "add logical with carry 32" esame
e30000000099 slb RXE_RRRD "subtract logical with borrow 32" esame
e30000000090 llgc RXE_RRRD "load logical character" esame
e30000000091 llgh RXE_RRRD "load logical halfword" esame
eb000000001c rllg RSE_RRRD "rotate left single logical 64" esame
eb000000001d rll RSE_RRRD "rotate left single logical 32" esame
b278 stcke S_RD "store clock extended" esame
b2a5 tre RRE_RR "translate extended" esame
eb000000008e mvclu RSE_RRRD "move long unicode" esame
e9 pka SS_L0RDRD "pack ascii" esame
e1 pku SS_L0RDRD "pack unicode" esame
b993 troo RRE_RR "translate one to one" esame
b992 trot RRE_RR "translate one to two" esame
b991 trto RRE_RR "translate two to one" esame
b990 trtt RRE_RR "translate two to two" esame
ea unpka SS_L0RDRD "unpack ascii" esame
e2 unpku SS_L0RDRD "unpack unicode" esame
b358 thder RRE_RR "convert short bfp to long hfp" esame
b359 thdr RRE_RR "convert long bfp to long hfp" esame
b350 tbedr RRF_U0FF "convert long hfp to short bfp" esame
b351 tbdr RRF_U0FF "convert long hfp to long bfp" esame
b374 lzer RRE_R0 "load short zero" esame
b375 lzdr RRE_R0 "load long zero" esame
b376 lzxr RRE_R0 "load extended zero" esame
