The following are examples of running tcl_insflow.d
  0 174829 4436207519691            5  inst             <- loadScalarStk
  0 174829 4436207519697            5  inst             -> invokeStk1
  0 174829 4436207519703            6   cmd               -> lappend
  0 174829 4436207519710            6   cmd               <- lappend
  0 174829 4436207519716            6  inst             <- invokeStk1
  0 174829 4436207519722            5  inst             -> jump1
  0 174829 4436207519727            5  inst             <- jump1
  0 174829 4436207519733            5  inst             -> pop
  0 174829 4436207519739            5  inst             <- pop
  0 174829 4436207519744            5  inst             -> push1
  0 174829 4436207519750            5  inst             <- push1
  0 174829 4436207519756            5  inst             -> push1
  0 174829 4436207519761            5  inst             <- push1
  0 174829 4436207519767            5  inst             -> push1
  0 174829 4436207519772            5  inst             <- push1
  0 174829 4436207519778            5  inst             -> invokeStk1
  0 174829 4436207519784            6   cmd               -> info
  0 174829 4436207519791            6   cmd               <- info
  0 174829 4436207519797            6  inst             <- invokeStk1
  0 174829 4436207519803            5  inst             -> tryCvtToNumeric
  0 174829 4436207519809            5  inst             <- tryCvtToNumeric
  0 174829 4436207519815            5  inst             -> jumpFalse1
  0 174829 4436207519820            5  inst             <- jumpFalse1
  0 174829 4436207519826            5  inst             -> push1
  0 174829 4436207519832            5  inst             <- push1
  0 174829 4436207519837            5  inst             -> push1
  0 174829 4436207519843            5  inst             <- push1
  0 174829 4436207519849            5  inst             -> push1
  0 174829 4436207519854            5  inst             <- push1
  0 174829 4436207519860            5  inst             -> loadScalarStk
  0 174829 4436207519866            6  inst             <- loadScalarStk
  0 174829 4436207519872            5  inst             -> push1
  0 174829 4436207519877            5  inst             <- push1
  0 174829 4436207519883            5  inst             -> invokeStk1
  0 174829 4436207519889            6   cmd               -> foreach
  0 174829 4436207519899            9  inst                 -> push1
  0 174829 4436207519904            5  inst                 <- push1
  0 174829 4436207519910            5  inst                 -> push1
  0 174829 4436207519915            5  inst                 <- push1
  0 174829 4436207519921            5  inst                 -> push1
  0 174829 4436207519927            5  inst                 <- push1
  0 174829 4436207519932            5  inst                 -> loadScalarStk
  0 174829 4436207519938            6  inst                 <- loadScalarStk
  0 174829 4436207519944            5  inst                 -> push1
  0 174829 4436207519950            5  inst                 <- push1
  0 174829 4436207519955            5  inst                 -> loadScalarStk
  0 174829 4436207519962            6  inst                 <- loadScalarStk
  0 174829 4436207519968            5  inst                 -> invokeStk1
  0 174829 4436207519974            6   cmd                   -> lsearch
  0 174829 4436207519980            6   cmd                   <- lsearch
  0 174829 4436207519986            6  inst                 <- invokeStk1
  0 174829 4436207519992            5  inst                 -> push1
  0 174829 4436207519998            5  inst                 <- push1
  0 174829 4436207520003            5  inst                 -> lt
  0 174829 4436207520009            5  inst                 <- lt
  0 174829 4436207520015            5  inst                 -> push1
  0 174829 4436207520020            5  inst                 <- push1
  0 174829 4436207520026            5  inst                 -> push1
  0 174829 4436207520031            5  inst                 <- push1
  0 174829 4436207520037            5  inst                 -> push1
  0 174829 4436207520043            5  inst                 <- push1
  0 174829 4436207520048            5  inst                 -> loadScalarStk
  0 174829 4436207520054            5  inst                 <- loadScalarStk
  0 174829 4436207520060            5  inst                 -> invokeStk1
  0 174829 4436207520066            6   cmd                   -> lappend
  0 174829 4436207520073            6   cmd                   <- lappend
  0 174829 4436207520079            5  inst                 <- invokeStk1
  0 174829 4436207520085            5  inst                 -> jump1
  0 174829 4436207520090            5  inst                 <- jump1
  0 174829 4436207520096            5  inst                 -> done
  0 174829 4436207520102            5  inst                 <- done
  0 174829 4436207520108            6   cmd               <- foreach
  0 174829 4436207520114            5  inst             <- invokeStk1
  0 174829 4436207520119            5  inst             -> jump1
  0 174829 4436207520125            5  inst             <- jump1
  0 174829 4436207520131            5  inst             -> done
  0 174829 4436207520136            5  inst             <- done
  0 174829 4436207520143            6   cmd           <- namespace
  0 174829 4436207520171           28   cmd           -> if
  0 174829 4436207520192           20  inst             -> push1
  0 174829 4436207520198            6  inst             <- push1
  0 174829 4436207520203            5  inst             -> push1
  0 174829 4436207520209            5  inst             <- push1
  0 174829 4436207520215            5  inst             -> invokeStk1
  0 174829 4436207520221            6   cmd               -> interp
  0 174829 4436207520230            9   cmd               <- interp
  0 174829 4436207520236            5  inst             <- invokeStk1
  0 174829 4436207520242            5  inst             -> not
  0 174829 4436207520247            5  inst             <- not
  0 174829 4436207520253            5  inst             -> jumpTrue1
  0 174829 4436207520259            5  inst             <- jumpTrue1
  0 174829 4436207520265            5  inst             -> push1
  0 174829 4436207520270            5  inst             <- push1
  0 174829 4436207520276            5  inst             -> dup
  0 174829 4436207520281            5  inst             <- dup
  0 174829 4436207520287            5  inst             -> jumpFalse1
  0 174829 4436207520293            5  inst             <- jumpFalse1
  0 174829 4436207520298            5  inst             -> push1
  0 174829 4436207520304            5  inst             <- push1
  0 174829 4436207520310            5  inst             -> push1
  0 174829 4436207520315            5  inst             <- push1
  0 174829 4436207520321            5  inst             -> loadArrayStk
  0 174829 4436207520328            6  inst             <- loadArrayStk
  0 174829 4436207520334            5  inst             -> push1
  0 174829 4436207520339            5  inst             <- push1
  0 174829 4436207520345            5  inst             -> streq
  0 174829 4436207520351            5  inst             <- streq
  0 174829 4436207520357            5  inst             -> land
  0 174829 4436207520363            6  inst             <- land
  0 174829 4436207520368            5  inst             -> done
  0 174829 4436207520374            5  inst             <- done
  0 174829 4436207520381            6   cmd           <- if
  0 174829 4436207520394           13   cmd           -> package
  0 174829 4436207520401            6   cmd           <- package
  0 174829 4436207520413           11   cmd           -> if
  0 174829 4436207520424           11  inst             -> push1
  0 174829 4436207520429            5  inst             <- push1
  0 174829 4436207520435            5  inst             -> push1
  0 174829 4436207520441            5  inst             <- push1
  0 174829 4436207520446            5  inst             -> invokeStk1
  0 174829 4436207520453            6   cmd               -> interp
  0 174829 4436207520459            6   cmd               <- interp
  0 174829 4436207520465            5  inst             <- invokeStk1
  0 174829 4436207520471            5  inst             -> not
  0 174829 4436207520476            5  inst             <- not
  0 174829 4436207520482            5  inst             -> done
  0 174829 4436207520488            5  inst             <- done
  0 174829 4436207520527           39  inst             -> push1
  0 174829 4436207520533            5  inst             <- push1
  0 174829 4436207520539            5  inst             -> push1
  0 174829 4436207520544            5  inst             <- push1
  0 174829 4436207520550            5  inst             -> loadArrayStk
  0 174829 4436207520557            6  inst             <- loadArrayStk
  0 174829 4436207520563            5  inst             -> push1
  0 174829 4436207520568            5  inst             <- push1
  0 174829 4436207520574            5  inst             -> streq
  0 174829 4436207520580            5  inst             <- streq
  0 174829 4436207520586            5  inst             -> push1
  0 174829 4436207520591            5  inst             <- push1
  0 174829 4436207520597            5  inst             -> dup
  0 174829 4436207520602            5  inst             <- dup
  0 174829 4436207520608            5  inst             -> jumpFalse1
  0 174829 4436207520614            5  inst             <- jumpFalse1
  0 174829 4436207520619            5  inst             -> push1
  0 174829 4436207520625            5  inst             <- push1
  0 174829 4436207520631            5  inst             -> push1
  0 174829 4436207520636            5  inst             <- push1
  0 174829 4436207520642            5  inst             -> loadArrayStk
  0 174829 4436207520648            6  inst             <- loadArrayStk
  0 174829 4436207520654            5  inst             -> push1
  0 174829 4436207520660            5  inst             <- push1
  0 174829 4436207520665            5  inst             -> streq
  0 174829 4436207520671            5  inst             <- streq
  0 174829 4436207520677            5  inst             -> land
  0 174829 4436207520682            5  inst             <- land
  0 174829 4436207520688            5  inst             -> jumpFalse1
  0 174829 4436207520694            5  inst             <- jumpFalse1
  0 174829 4436207520700            5  inst             -> push1
  0 174829 4436207520705            5  inst             <- push1
  0 174829 4436207520711            5  inst             -> pop
  0 174829 4436207520716            5  inst             <- pop
  0 174829 4436207520722            5  inst             -> push1
  0 174829 4436207520728            5  inst             <- push1
  0 174829 4436207520733            5  inst             -> push1
  0 174829 4436207520739            5  inst             <- push1
  0 174829 4436207520744            5  inst             -> loadArrayStk
  0 174829 4436207520751            6  inst             <- loadArrayStk
  0 174829 4436207520757            5  inst             -> push1
  0 174829 4436207520762            5  inst             <- push1
  0 174829 4436207520768            5  inst             -> streq
  0 174829 4436207520773            5  inst             <- streq
  0 174829 4436207520779            5  inst             -> push1
  0 174829 4436207520785            5  inst             <- push1
  0 174829 4436207520791            5  inst             -> done
  0 174829 4436207520796            5  inst             <- done
  0 174829 4436207520802            6   cmd           <- if
  0 174829 4436207520822           19   cmd           -> if
  0 174829 4436207520835           13  inst             -> push1
  0 174829 4436207520841            5  inst             <- push1
  0 174829 4436207520847            5  inst             -> push1
  0 174829 4436207520852            5  inst             <- push1
  0 174829 4436207520858            5  inst             -> push1
  0 174829 4436207520864            5  inst             <- push1
  0 174829 4436207520869            5  inst             -> push1
  0 174829 4436207520875            5  inst             <- push1
  0 174829 4436207520881            5  inst             -> invokeStk1
  0 174829 4436207520887            6   cmd               -> namespace
  0 174829 4436207520896            8   cmd               <- namespace
  0 174829 4436207520902            6  inst             <- invokeStk1
  0 174829 4436207520908            5  inst             -> push1
  0 174829 4436207520913            5  inst             <- push1
  0 174829 4436207520919            5  inst             -> streq
  0 174829 4436207520925            6  inst             <- streq
  0 174829 4436207520931            5  inst             -> done
  0 174829 4436207520936            5  inst             <- done
  0 174829 4436207520942            6   cmd           <- if
  0 174829 4436207521503          560   cmd           -> set
  0 174829 4436207521515           11   cmd           <- set
  0 174829 4436207521524            9   cmd           -> set
  0 174829 4436207521531            6   cmd           <- set
  0 174829 4436207521541           10   cmd           -> if
  0 174829 4436207521559           17  inst             -> push1
  0 174829 4436207521566            7  inst             <- push1
  0 174829 4436207521573            6  inst             -> push1
  0 174829 4436207521578            5  inst             <- push1
  0 174829 4436207521584            5  inst             -> push1
  0 174829 4436207521590            5  inst             <- push1
  0 174829 4436207521596            5  inst             -> push1
  0 174829 4436207521601            5  inst             <- push1
  0 174829 4436207521607            5  inst             -> invokeStk1
  0 174829 4436207521613            6   cmd               -> namespace
  0 174829 4436207521621            7   cmd               <- namespace
  0 174829 4436207521627            6  inst             <- invokeStk1
  0 174829 4436207521633            5  inst             -> push1
  0 174829 4436207521639            5  inst             <- push1
  0 174829 4436207521644            5  inst             -> streq
  0 174829 4436207521650            5  inst             <- streq
  0 174829 4436207521656            5  inst             -> done
  0 174829 4436207521662            5  inst             <- done
  0 174829 4436207521674           11  inst             -> push1
  0 174829 4436207521679            5  inst             <- push1
  0 174829 4436207521685            5  inst             -> push1
  0 174829 4436207521691            5  inst             <- push1
  0 174829 4436207521697            5  inst             -> push1
  0 174829 4436207521702            5  inst             <- push1
  0 174829 4436207521708            5  inst             -> push1
  0 174829 4436207521714            5  inst             <- push1
  0 174829 4436207521720            5  inst             -> invokeStk1
  0 174829 4436207521726            6   cmd               -> proc
  0 174829 4436207521738           12   cmd               <- proc
  0 174829 4436207521744            6  inst             <- invokeStk1
  0 174829 4436207521750            5  inst             -> done
  0 174829 4436207521756            5  inst             <- done
  0 174829 4436207521762            6   cmd           <- if
  0 174829 4436207521862           99   cmd           -> proc
  0 174829 4436207521872           10   cmd           <- proc
  0 174829 4436207521891           19   cmd           -> proc
  0 174829 4436207521902           10   cmd           <- proc
  0 174829 4436207521932           30   cmd           -> proc
  0 174829 4436207521941            8   cmd           <- proc
  0 174829 4436207521961           19   cmd           -> proc
  0 174829 4436207521970            9   cmd           <- proc
  0 174829 4436207521985           14   cmd           -> proc
  0 174829 4436207521994            8   cmd           <- proc
  0 174829 4436207522039           45   cmd           -> if
  0 174829 4436207522053           14  inst             -> push1
  0 174829 4436207522059            5  inst             <- push1
  0 174829 4436207522065            6  inst             -> push1
  0 174829 4436207522070            5  inst             <- push1
  0 174829 4436207522076            5  inst             -> loadArrayStk
  0 174829 4436207522083            7  inst             <- loadArrayStk
  0 174829 4436207522089            5  inst             -> push1
  0 174829 4436207522094            5  inst             <- push1
  0 174829 4436207522100            5  inst             -> streq
  0 174829 4436207522106            5  inst             <- streq
  0 174829 4436207522112            5  inst             -> done
  0 174829 4436207522117            5  inst             <- done
  0 174829 4436207522134           16  inst             -> push1
  0 174829 4436207522140            5  inst             <- push1
  0 174829 4436207522146            5  inst             -> push1
  0 174829 4436207522151            5  inst             <- push1
  0 174829 4436207522157            5  inst             -> push1
  0 174829 4436207522163            5  inst             <- push1
  0 174829 4436207522168            5  inst             -> push1
  0 174829 4436207522174            5  inst             <- push1
  0 174829 4436207522180            5  inst             -> invokeStk1
  0 174829 4436207522186            6   cmd               -> proc
  0 174829 4436207522205           19   cmd               <- proc
  0 174829 4436207522212            6  inst             <- invokeStk1
  0 174829 4436207522218            5  inst             -> done
  0 174829 4436207522223            5  inst             <- done
  0 174829 4436207522230            6   cmd           <- if
  0 174829 4436207522274           44   cmd           -> proc
  0 174829 4436207522286           11   cmd           <- proc
  0 174829 4436207522294            8   cmd         <- source
  0 174829 4436207522301            6   cmd       <- uplevel
  0 174829 4436207522307            6  inst     <- invokeStk1
  0 174829 4436207522313            6  inst     -> storeScalar1
  0 174829 4436207522319            5  inst     <- storeScalar1
  0 174829 4436207522325            5  inst     -> push1
  0 174829 4436207522331            5  inst     <- push1
  0 174829 4436207522337            5  inst     -> jump1
  0 174829 4436207522342            5  inst     <- jump1
  0 174829 4436207522348            5  inst     -> endCatch
  0 174829 4436207522354            5  inst     <- endCatch
  0 174829 4436207522360            5  inst     -> not
  0 174829 4436207522366            5  inst     <- not
  0 174829 4436207522371            5  inst     -> jumpFalse1
  0 174829 4436207522377            5  inst     <- jumpFalse1
  0 174829 4436207522383            5  inst     -> push1
  0 174829 4436207522389            5  inst     <- push1
  0 174829 4436207522394            5  inst     -> done
  0 174829 4436207522400            5  inst     <- done
  0 174829 4436207522409            8  proc   <- tclInit
  0 174829 4436207522426           17   cmd <- tclInit
  0 174829 4436207522671          245   cmd -> proc
  0 174829 4436207522681            9   cmd <- proc
  0 174829 4436207522691            9   cmd -> proc
  0 174829 4436207522698            7   cmd <- proc
  0 174829 4436207522708            9   cmd -> proc
  0 174829 4436207522715            7   cmd <- proc
  0 174829 4436207522723            8   cmd -> func_a
  0 174829 4436207522742           18  proc   -> func_a
  0 174829 4436207522752           10  inst     -> push1
  0 174829 4436207522757            5  inst     <- push1
  0 174829 4436207522763            5  inst     -> push1
  0 174829 4436207522769            5  inst     <- push1
  0 174829 4436207522775            5  inst     -> invokeStk1
  0 174829 4436207522781            6   cmd       -> puts
  0 174829 4436207523212          430   cmd       <- puts
  0 174829 4436207523266           54  inst     <- invokeStk1
  0 174829 4436207523275            8  inst     -> pop
  0 174829 4436207523281            6  inst     <- pop
  0 174829 4436207523287            5  inst     -> push1
  0 174829 4436207523292            5  inst     <- push1
  0 174829 4436207523298            5  inst     -> push1
  0 174829 4436207523304            5  inst     <- push1
  0 174829 4436207523310            5  inst     -> invokeStk1
  0 174829 4436207523318            7   cmd       -> after
  0 174829 4436208530951      1007632   cmd       <- after
  0 174829 4436208530972           21  inst     <- invokeStk1
  0 174829 4436208530984           12  inst     -> pop
  0 174829 4436208530993            9  inst     <- pop
  0 174829 4436208530999            5  inst     -> push1
  0 174829 4436208531005            5  inst     <- push1
  0 174829 4436208531010            5  inst     -> invokeStk1
  0 174829 4436208531021           10   cmd       -> func_b
  0 174829 4436208531057           35  proc         -> func_b
  0 174829 4436208531067           10  inst           -> push1
  0 174829 4436208531073            5  inst           <- push1
  0 174829 4436208531079            5  inst           -> push1
  0 174829 4436208531084            5  inst           <- push1
  0 174829 4436208531090            5  inst           -> invokeStk1
  0 174829 4436208531096            6   cmd             -> puts
  0 174829 4436208531137           40   cmd             <- puts
  0 174829 4436208531144            6  inst           <- invokeStk1
  0 174829 4436208531150            5  inst           -> pop
  0 174829 4436208531155            5  inst           <- pop
  0 174829 4436208531161            5  inst           -> push1
  0 174829 4436208531166            5  inst           <- push1
  0 174829 4436208531172            5  inst           -> push1
  0 174829 4436208531178            5  inst           <- push1
  0 174829 4436208531184            5  inst           -> invokeStk1
  0 174829 4436208531190            6   cmd             -> after
  0 174829 4436209540924      1009734   cmd             <- after
  0 174829 4436209540946           21  inst           <- invokeStk1
  0 174829 4436209540957           11  inst           -> pop
  0 174829 4436209540967            9  inst           <- pop
  0 174829 4436209540973            5  inst           -> push1
  0 174829 4436209540978            5  inst           <- push1
  0 174829 4436209540984            5  inst           -> invokeStk1
  0 174829 4436209540995           10   cmd             -> func_c
  0 174829 4436209541029           34  proc               -> func_c
  0 174829 4436209541039           10  inst                 -> push1
  0 174829 4436209541045            5  inst                 <- push1
  0 174829 4436209541051            5  inst                 -> push1
  0 174829 4436209541056            5  inst                 <- push1
  0 174829 4436209541062            5  inst                 -> invokeStk1
  0 174829 4436209541068            6   cmd                   -> puts
  0 174829 4436209541111           42   cmd                   <- puts
  0 174829 4436209541118            7  inst                 <- invokeStk1
  0 174829 4436209541124            5  inst                 -> pop
  0 174829 4436209541129            5  inst                 <- pop
  0 174829 4436209541135            5  inst                 -> push1
  0 174829 4436209541141            5  inst                 <- push1
  0 174829 4436209541147            5  inst                 -> push1
  0 174829 4436209541153            5  inst                 <- push1
  0 174829 4436209541158            5  inst                 -> invokeStk1
  0 174829 4436209541165            6   cmd                   -> after
  0 174829 4436210550785      1009619   cmd                   <- after
  0 174829 4436210550807           22  inst                 <- invokeStk1
  0 174829 4436210550819           11  inst                 -> done
  0 174829 4436210550830           10  inst                 <- done
  0 174829 4436210550839            9  proc               <- func_c
  0 174829 4436210550850           11   cmd             <- func_c
  0 174829 4436210550856            6  inst           <- invokeStk1
  0 174829 4436210550862            5  inst           -> done
  0 174829 4436210550868            5  inst           <- done
  0 174829 4436210550874            6  proc         <- func_b
  0 174829 4436210550880            6   cmd       <- func_b
  0 174829 4436210550887            6  inst     <- invokeStk1
  0 174829 4436210550892            5  inst     -> done
  0 174829 4436210550898            5  inst     <- done
  0 174829 4436210550904            6  proc   <- func_a
  0 174829 4436210550911            6   cmd <- func_a
  0 174829 4436210550938           27   cmd -> exit

As you can see the output is quite long, and in seven columns.  The first
column is the CPU the action is on.  The second is the PID.  The third is the
time since boot in microseconds.  

The fourth column is the number of microseconds that has elapsed between the
previous line and the current one.

The fifth column is the type of event that occurred (procedure, command or
instruction).

The sixth and seventh columns are indented by 2 spaces to show when a new
event occurs.  This shows us which command is calling which.

If the output looks strange, check the CPU "C" column - if it changes,
then the output is probably shuffled. See Notes/ALLsnoop_notes.txt for
details and suggested workarounds.

See Notes/ALLflow_notes.txt for important notes about reading flow outputs.

