The following are examples of j_flowtime.d.
  0 311481/2     4790257391097            7                 <- java/nio/Buffer.flip
  0 311481/2     4790257391105            8                 -> java/nio/ByteBuffer.array
  0 311481/2     4790257391112            7                 <- java/nio/ByteBuffer.array
  0 311481/2     4790257391120            7                 -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257391127            7                 <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790257391135            8                 -> java/io/PrintStream.write
  0 311481/2     4790257391142            7                   -> java/io/PrintStream.ensureOpen
  0 311481/2     4790257391150            7                   <- java/io/PrintStream.ensureOpen
  0 311481/2     4790257391158            8                   -> java/io/BufferedOutputStream.write
  0 311481/2     4790257391166            7                     -> java/lang/System.arraycopy
  0 311481/2     4790257391174            8                     <- java/lang/System.arraycopy
  0 311481/2     4790257391182            7                   <- java/io/BufferedOutputStream.write
  0 311481/2     4790257391190            7                   -> java/io/BufferedOutputStream.flush
  0 311481/2     4790257391197            7                     -> java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790257391205            7                       -> java/io/FileOutputStream.write
  0 311481/2     4790257391212            7                         -> java/io/FileOutputStream.writeBytes
  0 311481/2     4790257391280           67                         <- java/io/FileOutputStream.writeBytes
  0 311481/2     4790257391289            9                       <- java/io/FileOutputStream.write
  0 311481/2     4790257391297            7                     <- java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790257391305            7                   <- java/io/BufferedOutputStream.flush
  0 311481/2     4790257391313            7                 <- java/io/PrintStream.write
  0 311481/2     4790257391321            7                 -> java/nio/Buffer.clear
  0 311481/2     4790257391329            7                 <- java/nio/Buffer.clear
  0 311481/2     4790257391336            7               <- sun/nio/cs/StreamEncoder.writeBytes
  0 311481/2     4790257391344            7             <- sun/nio/cs/StreamEncoder.implFlushBuffer
  0 311481/2     4790257391352            7           <- sun/nio/cs/StreamEncoder.flushBuffer
  0 311481/2     4790257391359            7         <- java/io/OutputStreamWriter.flushBuffer
  0 311481/2     4790257391368            8         -> java/io/BufferedOutputStream.flush
  0 311481/2     4790257391375            7           -> java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790257391383            7           <- java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790257391391            8         <- java/io/BufferedOutputStream.flush
  0 311481/2     4790257391398            7       <- java/io/PrintStream.newLine
  0 311481/2     4790257391406            7     <- java/io/PrintStream.println
  0 311481/2     4790257391439           32     -> java/lang/ClassLoader.loadClassInternal
  0 311481/2     4790257391447            8       -> java/lang/ClassLoader.loadClass
  0 311481/2     4790257391455            7         -> sun/misc/Launcher$AppClassLoader.loadClass
  0 311481/2     4790257391463            7           -> java/lang/String.lastIndexOf
  0 311481/2     4790257391471            7             -> java/lang/String.lastIndexOf
  0 311481/2     4790257391479            8             <- java/lang/String.lastIndexOf
  0 311481/2     4790257391487            7           <- java/lang/String.lastIndexOf
  0 311481/2     4790257391495            8           -> java/lang/System.getSecurityManager
  0 311481/2     4790257391503            7           <- java/lang/System.getSecurityManager
  0 311481/2     4790257391511            8           -> java/lang/ClassLoader.loadClass
  0 311481/2     4790257391518            7             -> java/lang/ClassLoader.findLoadedClass
  0 311481/2     4790257391526            7               -> java/lang/ClassLoader.check
  0 311481/2     4790257391533            7               <- java/lang/ClassLoader.check
  0 311481/2     4790257391541            7               -> java/lang/ClassLoader.checkName
  0 311481/2     4790257391549            7                 -> java/lang/String.indexOf
  0 311481/2     4790257391556            7                   -> java/lang/String.indexOf
  0 311481/2     4790257391564            8                   <- java/lang/String.indexOf
  0 311481/2     4790257391572            7                 <- java/lang/String.indexOf
  0 311481/2     4790257391580            8                 -> sun/misc/VM.allowArraySyntax
  0 311481/2     4790257391587            7                 <- sun/misc/VM.allowArraySyntax
  0 311481/2     4790257391595            7                 -> java/lang/String.charAt
  0 311481/2     4790257391603            7                 <- java/lang/String.charAt
  0 311481/2     4790257391610            7               <- java/lang/ClassLoader.checkName
  0 311481/2     4790257391618            7               -> java/lang/ClassLoader.findLoadedClass0
  0 311481/2     4790257391633           14               <- java/lang/ClassLoader.findLoadedClass0
  0 311481/2     4790257391641            8             <- java/lang/ClassLoader.findLoadedClass
  0 311481/2     4790257391651            9             -> java/lang/ClassLoader.loadClass
  0 311481/2     4790257391658            7               -> java/lang/ClassLoader.findLoadedClass
  0 311481/2     4790257391665            7                 -> java/lang/ClassLoader.check
  0 311481/2     4790257391672            7                 <- java/lang/ClassLoader.check
  0 311481/2     4790257391680            7                 -> java/lang/ClassLoader.checkName
  0 311481/2     4790257391688            7                   -> java/lang/String.indexOf
  0 311481/2     4790257391695            7                     -> java/lang/String.indexOf
  0 311481/2     4790257391703            8                     <- java/lang/String.indexOf
  0 311481/2     4790257391711            7                   <- java/lang/String.indexOf
  0 311481/2     4790257391718            7                   -> sun/misc/VM.allowArraySyntax
  0 311481/2     4790257391725            7                   <- sun/misc/VM.allowArraySyntax
  0 311481/2     4790257391733            7                   -> java/lang/String.charAt
  0 311481/2     4790257391740            7                   <- java/lang/String.charAt
  0 311481/2     4790257391748            7                 <- java/lang/ClassLoader.checkName
  0 311481/2     4790257391755            7                 -> java/lang/ClassLoader.findLoadedClass0
  0 311481/2     4790257391765            9                 <- java/lang/ClassLoader.findLoadedClass0
  0 311481/2     4790257391773            8               <- java/lang/ClassLoader.findLoadedClass
  0 311481/2     4790257391781            8               -> java/lang/ClassLoader.findBootstrapClass0
  0 311481/2     4790257391788            7                 -> java/lang/ClassLoader.check
  0 311481/2     4790257391795            7                 <- java/lang/ClassLoader.check
  0 311481/2     4790257391803            7                 -> java/lang/ClassLoader.checkName
  0 311481/2     4790257391810            7                   -> java/lang/String.indexOf
  0 311481/2     4790257391817            7                     -> java/lang/String.indexOf
  0 311481/2     4790257391825            7                     <- java/lang/String.indexOf
  0 311481/2     4790257391833            7                   <- java/lang/String.indexOf
  0 311481/2     4790257391840            7                   -> sun/misc/VM.allowArraySyntax
  0 311481/2     4790257391848            7                   <- sun/misc/VM.allowArraySyntax
  0 311481/2     4790257391855            7                   -> java/lang/String.charAt
  0 311481/2     4790257391862            7                   <- java/lang/String.charAt
  0 311481/2     4790257391870            7                 <- java/lang/ClassLoader.checkName
  0 311481/2     4790257391877            7                 -> java/lang/ClassLoader.findBootstrapClass
  0 311481/2     4790257391891           13                 <- java/lang/ClassLoader.findBootstrapClass
  0 311481/2     4790257391899            7               <- java/lang/ClassLoader.findBootstrapClass0
  0 311481/2     4790257391907            8             <- java/lang/ClassLoader.loadClass
  0 311481/2     4790257391915            7           <- java/lang/ClassLoader.loadClass
  0 311481/2     4790257391922            7         <- sun/misc/Launcher$AppClassLoader.loadClass
  0 311481/2     4790257391930            7       <- java/lang/ClassLoader.loadClass
  0 311481/2     4790257391938            7     <- java/lang/ClassLoader.loadClassInternal
  0 311481/2     4790257391954           16     -> java/lang/ClassLoader.checkPackageAccess
  0 311481/2     4790257391962            7       -> java/lang/System.getSecurityManager
  0 311481/2     4790257391969            7       <- java/lang/System.getSecurityManager
  0 311481/2     4790257391978            8       -> java/util/HashSet.add
  0 311481/2     4790257391986            8         -> java/util/HashMap.put
  0 311481/2     4790257391994            7           -> java/lang/Object.hashCode
  0 311481/2     4790257392001            7           <- java/lang/Object.hashCode
  0 311481/2     4790257392009            8           -> java/util/HashMap.hash
  0 311481/2     4790257392017            7           <- java/util/HashMap.hash
  0 311481/2     4790257392025            7           -> java/util/HashMap.indexFor
  0 311481/2     4790257392032            7           <- java/util/HashMap.indexFor
  0 311481/2     4790257392040            8         <- java/util/HashMap.put
  0 311481/2     4790257392048            7       <- java/util/HashSet.add
  0 311481/2     4790257392055            7     <- java/lang/ClassLoader.checkPackageAccess
  0 311481/2     4790257392076           20     -> java/lang/Thread.currentThread
  0 311481/2     4790257392084            8     <- java/lang/Thread.currentThread
  0 311481/2     4790257392094           10     -> java/lang/Thread.sleep
  0 311481/2     4790258400253      1008158     <- java/lang/Thread.sleep
  0 311481/2     4790258400299           45     -> Func_abc.func_b
  0 311481/2     4790258400329           30       -> java/io/PrintStream.println
  0 311481/2     4790258400338            8         -> java/io/PrintStream.print
  0 311481/2     4790258400345            7           -> java/io/PrintStream.write
  0 311481/2     4790258400353            7             -> java/io/PrintStream.ensureOpen
  0 311481/2     4790258400361            7             <- java/io/PrintStream.ensureOpen
  0 311481/2     4790258400369            8             -> java/io/Writer.write
  0 311481/2     4790258400378            8               -> java/io/BufferedWriter.write
  0 311481/2     4790258400386            7                 -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790258400393            7                 <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790258400402            9                 -> java/io/BufferedWriter.min
  0 311481/2     4790258400410            7                 <- java/io/BufferedWriter.min
  0 311481/2     4790258400418            8                 -> java/lang/String.getChars
  0 311481/2     4790258400426            8                   -> java/lang/System.arraycopy
  0 311481/2     4790258400435            8                   <- java/lang/System.arraycopy
  0 311481/2     4790258400442            7                 <- java/lang/String.getChars
  0 311481/2     4790258400451            8               <- java/io/BufferedWriter.write
  0 311481/2     4790258400458            7             <- java/io/Writer.write
  0 311481/2     4790258400466            7             -> java/io/BufferedWriter.flushBuffer
  0 311481/2     4790258400474            7               -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790258400481            7               <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790258400489            8               -> java/io/OutputStreamWriter.write
  0 311481/2     4790258400497            7                 -> sun/nio/cs/StreamEncoder.write
  0 311481/2     4790258400504            7                   -> sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790258400511            7                   <- sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790258400520            8                   -> sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790258400528            7                     -> java/nio/CharBuffer.wrap
  0 311481/2     4790258400536            7                       -> java/nio/HeapCharBuffer.<init>
  0 311481/2     4790258400544            7                         -> java/nio/CharBuffer.<init>
  0 311481/2     4790258400551            7                           -> java/nio/Buffer.<init>
  0 311481/2     4790258400559            7                             -> java/lang/Object.<init>
  0 311481/2     4790258400566            7                             <- java/lang/Object.<init>
  0 311481/2     4790258400574            8                             -> java/nio/Buffer.limit
  0 311481/2     4790258400582            7                             <- java/nio/Buffer.limit
  0 311481/2     4790258400590            7                             -> java/nio/Buffer.position
  0 311481/2     4790258400597            7                             <- java/nio/Buffer.position
  0 311481/2     4790258400604            7                           <- java/nio/Buffer.<init>
  0 311481/2     4790258400612            7                         <- java/nio/CharBuffer.<init>
  0 311481/2     4790258400620            7                       <- java/nio/HeapCharBuffer.<init>
  0 311481/2     4790258400627            7                     <- java/nio/CharBuffer.wrap
  0 311481/2     4790258400635            8                     -> java/nio/Buffer.hasRemaining
  0 311481/2     4790258400643            7                     <- java/nio/Buffer.hasRemaining
  0 311481/2     4790258400651            8                     -> java/nio/charset/CharsetEncoder.encode
  0 311481/2     4790258400659            8                       -> sun/nio/cs/US_ASCII$Encoder.encodeLoop
  0 311481/2     4790258400667            7                         -> java/nio/CharBuffer.hasArray
  0 311481/2     4790258400675            7                         <- java/nio/CharBuffer.hasArray
  0 311481/2     4790258400683            8                         -> java/nio/ByteBuffer.hasArray
  0 311481/2     4790258400690            7                         <- java/nio/ByteBuffer.hasArray
  0 311481/2     4790258400698            7                         -> sun/nio/cs/US_ASCII$Encoder.encodeArrayLoop
  0 311481/2     4790258400706            7                           -> java/nio/CharBuffer.array
  0 311481/2     4790258400713            7                           <- java/nio/CharBuffer.array
  0 311481/2     4790258400721            7                           -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258400728            7                           <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258400736            7                           -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258400743            7                           <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258400752            8                           -> java/nio/ByteBuffer.array
  0 311481/2     4790258400759            7                           <- java/nio/ByteBuffer.array
  0 311481/2     4790258400766            7                           -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258400774            7                           <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258400781            7                           -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258400789            7                           <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258400799            9                           -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258400806            7                           <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258400813            7                           -> java/nio/Buffer.position
  0 311481/2     4790258400821            7                           <- java/nio/Buffer.position
  0 311481/2     4790258400828            7                           -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258400836            7                           <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258400843            7                           -> java/nio/Buffer.position
  0 311481/2     4790258400850            7                           <- java/nio/Buffer.position
  0 311481/2     4790258400858            7                         <- sun/nio/cs/US_ASCII$Encoder.encodeArrayLoop
  0 311481/2     4790258400866            7                       <- sun/nio/cs/US_ASCII$Encoder.encodeLoop
  0 311481/2     4790258400874            8                       -> java/nio/charset/CoderResult.isOverflow
  0 311481/2     4790258400881            7                       <- java/nio/charset/CoderResult.isOverflow
  0 311481/2     4790258400889            7                       -> java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790258400896            7                       <- java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790258400904            7                     <- java/nio/charset/CharsetEncoder.encode
  0 311481/2     4790258400912            7                     -> java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790258400919            7                     <- java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790258400927            8                     -> java/nio/Buffer.remaining
  0 311481/2     4790258400934            7                     <- java/nio/Buffer.remaining
  0 311481/2     4790258400942            7                   <- sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790258400950            7                 <- sun/nio/cs/StreamEncoder.write
  0 311481/2     4790258400957            7               <- java/io/OutputStreamWriter.write
  0 311481/2     4790258400965            7             <- java/io/BufferedWriter.flushBuffer
  0 311481/2     4790258400973            8             -> java/io/OutputStreamWriter.flushBuffer
  0 311481/2     4790258400981            7               -> sun/nio/cs/StreamEncoder.flushBuffer
  0 311481/2     4790258400988            7                 -> sun/nio/cs/StreamEncoder.implFlushBuffer
  0 311481/2     4790258400996            7                   -> sun/nio/cs/StreamEncoder.writeBytes
  0 311481/2     4790258401004            7                     -> java/nio/Buffer.flip
  0 311481/2     4790258401011            6                     <- java/nio/Buffer.flip
  0 311481/2     4790258401019            8                     -> java/nio/ByteBuffer.array
  0 311481/2     4790258401026            7                     <- java/nio/ByteBuffer.array
  0 311481/2     4790258401033            7                     -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401041            7                     <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401049            7                     -> java/io/PrintStream.write
  0 311481/2     4790258401056            7                       -> java/io/PrintStream.ensureOpen
  0 311481/2     4790258401063            7                       <- java/io/PrintStream.ensureOpen
  0 311481/2     4790258401071            8                       -> java/io/BufferedOutputStream.write
  0 311481/2     4790258401079            7                         -> java/lang/System.arraycopy
  0 311481/2     4790258401087            7                         <- java/lang/System.arraycopy
  0 311481/2     4790258401094            7                       <- java/io/BufferedOutputStream.write
  0 311481/2     4790258401103            8                       -> java/io/BufferedOutputStream.flush
  0 311481/2     4790258401110            7                         -> java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790258401118            7                           -> java/io/FileOutputStream.write
  0 311481/2     4790258401125            7                             -> java/io/FileOutputStream.writeBytes
  0 311481/2     4790258401164           39                             <- java/io/FileOutputStream.writeBytes
  0 311481/2     4790258401173            8                           <- java/io/FileOutputStream.write
  0 311481/2     4790258401181            7                         <- java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790258401189            7                       <- java/io/BufferedOutputStream.flush
  0 311481/2     4790258401196            7                     <- java/io/PrintStream.write
  0 311481/2     4790258401204            7                     -> java/nio/Buffer.clear
  0 311481/2     4790258401212            7                     <- java/nio/Buffer.clear
  0 311481/2     4790258401219            7                   <- sun/nio/cs/StreamEncoder.writeBytes
  0 311481/2     4790258401227            7                 <- sun/nio/cs/StreamEncoder.implFlushBuffer
  0 311481/2     4790258401235            7               <- sun/nio/cs/StreamEncoder.flushBuffer
  0 311481/2     4790258401242            7             <- java/io/OutputStreamWriter.flushBuffer
  0 311481/2     4790258401251            8             -> java/lang/String.indexOf
  0 311481/2     4790258401258            7               -> java/lang/String.indexOf
  0 311481/2     4790258401266            8               <- java/lang/String.indexOf
  0 311481/2     4790258401274            7             <- java/lang/String.indexOf
  0 311481/2     4790258401281            7           <- java/io/PrintStream.write
  0 311481/2     4790258401289            7         <- java/io/PrintStream.print
  0 311481/2     4790258401297            7         -> java/io/PrintStream.newLine
  0 311481/2     4790258401304            7           -> java/io/PrintStream.ensureOpen
  0 311481/2     4790258401311            7           <- java/io/PrintStream.ensureOpen
  0 311481/2     4790258401319            7           -> java/io/BufferedWriter.newLine
  0 311481/2     4790258401326            7             -> java/io/Writer.write
  0 311481/2     4790258401334            7               -> java/io/BufferedWriter.write
  0 311481/2     4790258401341            7                 -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790258401348            7                 <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790258401356            7                 -> java/io/BufferedWriter.min
  0 311481/2     4790258401363            7                 <- java/io/BufferedWriter.min
  0 311481/2     4790258401371            7                 -> java/lang/String.getChars
  0 311481/2     4790258401378            7                   -> java/lang/System.arraycopy
  0 311481/2     4790258401385            7                   <- java/lang/System.arraycopy
  0 311481/2     4790258401393            7                 <- java/lang/String.getChars
  0 311481/2     4790258401401            7               <- java/io/BufferedWriter.write
  0 311481/2     4790258401408            7             <- java/io/Writer.write
  0 311481/2     4790258401416            7           <- java/io/BufferedWriter.newLine
  0 311481/2     4790258401423            7           -> java/io/BufferedWriter.flushBuffer
  0 311481/2     4790258401430            7             -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790258401438            7             <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790258401446            7             -> java/io/OutputStreamWriter.write
  0 311481/2     4790258401453            7               -> sun/nio/cs/StreamEncoder.write
  0 311481/2     4790258401460            7                 -> sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790258401467            7                 <- sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790258401475            7                 -> sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790258401482            7                   -> java/nio/CharBuffer.wrap
  0 311481/2     4790258401490            7                     -> java/nio/HeapCharBuffer.<init>
  0 311481/2     4790258401497            7                       -> java/nio/CharBuffer.<init>
  0 311481/2     4790258401504            7                         -> java/nio/Buffer.<init>
  0 311481/2     4790258401511            7                           -> java/lang/Object.<init>
  0 311481/2     4790258401518            7                           <- java/lang/Object.<init>
  0 311481/2     4790258401526            7                           -> java/nio/Buffer.limit
  0 311481/2     4790258401533            7                           <- java/nio/Buffer.limit
  0 311481/2     4790258401541            7                           -> java/nio/Buffer.position
  0 311481/2     4790258401548            7                           <- java/nio/Buffer.position
  0 311481/2     4790258401556            7                         <- java/nio/Buffer.<init>
  0 311481/2     4790258401563            7                       <- java/nio/CharBuffer.<init>
  0 311481/2     4790258401570            7                     <- java/nio/HeapCharBuffer.<init>
  0 311481/2     4790258401578            7                   <- java/nio/CharBuffer.wrap
  0 311481/2     4790258401586            7                   -> java/nio/Buffer.hasRemaining
  0 311481/2     4790258401593            7                   <- java/nio/Buffer.hasRemaining
  0 311481/2     4790258401601            7                   -> java/nio/charset/CharsetEncoder.encode
  0 311481/2     4790258401608            7                     -> sun/nio/cs/US_ASCII$Encoder.encodeLoop
  0 311481/2     4790258401615            7                       -> java/nio/CharBuffer.hasArray
  0 311481/2     4790258401623            7                       <- java/nio/CharBuffer.hasArray
  0 311481/2     4790258401630            7                       -> java/nio/ByteBuffer.hasArray
  0 311481/2     4790258401638            7                       <- java/nio/ByteBuffer.hasArray
  0 311481/2     4790258401645            7                       -> sun/nio/cs/US_ASCII$Encoder.encodeArrayLoop
  0 311481/2     4790258401653            7                         -> java/nio/CharBuffer.array
  0 311481/2     4790258401660            7                         <- java/nio/CharBuffer.array
  0 311481/2     4790258401667            7                         -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258401675            7                         <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258401682            7                         -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258401690            7                         <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258401697            7                         -> java/nio/ByteBuffer.array
  0 311481/2     4790258401705            7                         <- java/nio/ByteBuffer.array
  0 311481/2     4790258401712            7                         -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401719            7                         <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401727            7                         -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401734            7                         <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401743            8                         -> java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258401750            7                         <- java/nio/CharBuffer.arrayOffset
  0 311481/2     4790258401757            7                         -> java/nio/Buffer.position
  0 311481/2     4790258401765            7                         <- java/nio/Buffer.position
  0 311481/2     4790258401772            7                         -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401780            7                         <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401787            7                         -> java/nio/Buffer.position
  0 311481/2     4790258401794            7                         <- java/nio/Buffer.position
  0 311481/2     4790258401802            7                       <- sun/nio/cs/US_ASCII$Encoder.encodeArrayLoop
  0 311481/2     4790258401809            7                     <- sun/nio/cs/US_ASCII$Encoder.encodeLoop
  0 311481/2     4790258401817            7                     -> java/nio/charset/CoderResult.isOverflow
  0 311481/2     4790258401825            7                     <- java/nio/charset/CoderResult.isOverflow
  0 311481/2     4790258401832            7                     -> java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790258401840            7                     <- java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790258401848            7                   <- java/nio/charset/CharsetEncoder.encode
  0 311481/2     4790258401855            7                   -> java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790258401863            7                   <- java/nio/charset/CoderResult.isUnderflow
  0 311481/2     4790258401871            7                   -> java/nio/Buffer.remaining
  0 311481/2     4790258401878            7                   <- java/nio/Buffer.remaining
  0 311481/2     4790258401885            7                 <- sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790258401893            7               <- sun/nio/cs/StreamEncoder.write
  0 311481/2     4790258401901            7             <- java/io/OutputStreamWriter.write
  0 311481/2     4790258401908            7           <- java/io/BufferedWriter.flushBuffer
  0 311481/2     4790258401916            7           -> java/io/OutputStreamWriter.flushBuffer
  0 311481/2     4790258401923            7             -> sun/nio/cs/StreamEncoder.flushBuffer
  0 311481/2     4790258401931            7               -> sun/nio/cs/StreamEncoder.implFlushBuffer
  0 311481/2     4790258401938            7                 -> sun/nio/cs/StreamEncoder.writeBytes
  0 311481/2     4790258401945            7                   -> java/nio/Buffer.flip
  0 311481/2     4790258401952            7                   <- java/nio/Buffer.flip
  0 311481/2     4790258401960            7                   -> java/nio/ByteBuffer.array
  0 311481/2     4790258401967            7                   <- java/nio/ByteBuffer.array
  0 311481/2     4790258401975            7                   -> java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401982            7                   <- java/nio/ByteBuffer.arrayOffset
  0 311481/2     4790258401990            7                   -> java/io/PrintStream.write
  0 311481/2     4790258401997            7                     -> java/io/PrintStream.ensureOpen
  0 311481/2     4790258402004            7                     <- java/io/PrintStream.ensureOpen
  0 311481/2     4790258402012            7                     -> java/io/BufferedOutputStream.write
  0 311481/2     4790258402020            7                       -> java/lang/System.arraycopy
  0 311481/2     4790258402027            7                       <- java/lang/System.arraycopy
  0 311481/2     4790258402035            7                     <- java/io/BufferedOutputStream.write
  0 311481/2     4790258402042            7                     -> java/io/BufferedOutputStream.flush
  0 311481/2     4790258402050            7                       -> java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790258402057            7                         -> java/io/FileOutputStream.write
  0 311481/2     4790258402064            7                           -> java/io/FileOutputStream.writeBytes
  0 311481/2     4790258402082           17                           <- java/io/FileOutputStream.writeBytes
  0 311481/2     4790258402090            8                         <- java/io/FileOutputStream.write
  0 311481/2     4790258402098            7                       <- java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790258402106            7                     <- java/io/BufferedOutputStream.flush
  0 311481/2     4790258402113            7                   <- java/io/PrintStream.write
  0 311481/2     4790258402121            7                   -> java/nio/Buffer.clear
  0 311481/2     4790258402128            7                   <- java/nio/Buffer.clear
  0 311481/2     4790258402136            7                 <- sun/nio/cs/StreamEncoder.writeBytes
  0 311481/2     4790258402143            7               <- sun/nio/cs/StreamEncoder.implFlushBuffer
  0 311481/2     4790258402151            7             <- sun/nio/cs/StreamEncoder.flushBuffer
  0 311481/2     4790258402159            7           <- java/io/OutputStreamWriter.flushBuffer
  0 311481/2     4790258402166            7           -> java/io/BufferedOutputStream.flush
  0 311481/2     4790258402174            7             -> java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790258402181            7             <- java/io/BufferedOutputStream.flushBuffer
  0 311481/2     4790258402189            7           <- java/io/BufferedOutputStream.flush
  0 311481/2     4790258402196            7         <- java/io/PrintStream.newLine
  0 311481/2     4790258402204            7       <- java/io/PrintStream.println
  0 311481/2     4790258402212            7       -> java/lang/Thread.currentThread
  0 311481/2     4790258402220            7       <- java/lang/Thread.currentThread
  0 311481/2     4790258402228            7       -> java/lang/Thread.sleep
  0 311481/2     4790259410328      1008099       <- java/lang/Thread.sleep
  0 311481/2     4790259410374           46       -> Func_abc.func_c
  0 311481/2     4790259410404           29         -> java/io/PrintStream.println
  0 311481/2     4790259410412            8           -> java/io/PrintStream.print
  0 311481/2     4790259410420            7             -> java/io/PrintStream.write
  0 311481/2     4790259410428            7               -> java/io/PrintStream.ensureOpen
  0 311481/2     4790259410435            7               <- java/io/PrintStream.ensureOpen
  0 311481/2     4790259410444            8               -> java/io/Writer.write
  0 311481/2     4790259410453            8                 -> java/io/BufferedWriter.write
  0 311481/2     4790259410460            7                   -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790259410467            7                   <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790259410477            9                   -> java/io/BufferedWriter.min
  0 311481/2     4790259410484            7                   <- java/io/BufferedWriter.min
  0 311481/2     4790259410492            8                   -> java/lang/String.getChars
  0 311481/2     4790259410501            8                     -> java/lang/System.arraycopy
  0 311481/2     4790259410509            8                     <- java/lang/System.arraycopy
  0 311481/2     4790259410517            7                   <- java/lang/String.getChars
  0 311481/2     4790259410525            8                 <- java/io/BufferedWriter.write
  0 311481/2     4790259410533            7               <- java/io/Writer.write
  0 311481/2     4790259410541            7               -> java/io/BufferedWriter.flushBuffer
  0 311481/2     4790259410548            7                 -> java/io/BufferedWriter.ensureOpen
  0 311481/2     4790259410555            7                 <- java/io/BufferedWriter.ensureOpen
  0 311481/2     4790259410563            8                 -> java/io/OutputStreamWriter.write
  0 311481/2     4790259410571            7                   -> sun/nio/cs/StreamEncoder.write
  0 311481/2     4790259410579            7                     -> sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790259410586            7                     <- sun/nio/cs/StreamEncoder.ensureOpen
  0 311481/2     4790259410595            8                     -> sun/nio/cs/StreamEncoder.implWrite
  0 311481/2     4790259410602            7                       -> java/nio/CharBuffer.wrap
  0 311481/2     4790259410610            7                         -> java/nio/HeapCharBuffer.<init>
  0 311481/2     4790259410618            7                           -> java/nio/CharBuffer.<init>
  0 311481/2     4790259410625            7                             -> java/nio/Buffer.<init>
  0 311481/2     4790259410633            7                               -> java/lang/Object.<init>
  0 311481/2     4790259410640            7                               <- java/lang/Object.<init>
  0 311481/2     4790259410648            8                               -> java/nio/Buffer.limit
