# CaseFolding-2.txt
#
# Case Folding Properties
#
# This file is a supplement to the UnicodeData file.
# It provides a case folding mapping generated from the Unicode Character Database.
# If all characters are mapped according to this mapping, then
# case differences (according to UnicodeData.txt and SpecialCasing.txt)
# are eliminated.
#
# For information on case folding, see 
# UTR #21 Case Mappings, at http://www.unicode.org/unicode/reports/tr21/
#
# These are informative character properties.
#
# Send comments to mark@unicode.org
#
# ================================================================================
# Format
# ================================================================================
# The entries in this file are in the following machine-readable format:
#
# <code>; <status>; <mapping>; # <name>
#
# The status is:
#   L (for Lowercase) if the case mapping matches the standard 1-1 lowercase mapping
#   E (for exception) if it does not.
#
# The mapping may consist of multiple characters.
# If so, they are separated by spaces.
#
# =================================================================

0041; L; 0061;	#LATIN CAPITAL LETTER A
04DE; L; 04DF;	#CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
04E0; L; 04E1;	#CYRILLIC CAPITAL LETTER ABKHASIAN DZE
04E2; L; 04E3;	#CYRILLIC CAPITAL LETTER I WITH MACRON
04E4; L; 04E5;	#CYRILLIC CAPITAL LETTER I WITH DIAERESIS
04E6; L; 04E7;	#CYRILLIC CAPITAL LETTER O WITH DIAERESIS
04E8; L; 04E9;	#CYRILLIC CAPITAL LETTER BARRED O
04EA; L; 04EB;	#CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
04EC; L; 04ED;	#CYRILLIC CAPITAL LETTER E WITH DIAERESIS
04EE; L; 04EF;	#CYRILLIC CAPITAL LETTER U WITH MACRON
04F0; L; 04F1;	#CYRILLIC CAPITAL LETTER U WITH DIAERESIS
04F2; L; 04F3;	#CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
04F4; L; 04F5;	#CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
04F8; L; 04F9;	#CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
0531; L; 0561;	#ARMENIAN CAPITAL LETTER AYB
0532; L; 0562;	#ARMENIAN CAPITAL LETTER BEN
0533; L; 0563;	#ARMENIAN CAPITAL LETTER GIM
0534; L; 0564;	#ARMENIAN CAPITAL LETTER DA
0535; L; 0565;	#ARMENIAN CAPITAL LETTER ECH
0536; L; 0566;	#ARMENIAN CAPITAL LETTER ZA
0537; L; 0567;	#ARMENIAN CAPITAL LETTER EH
0538; L; 0568;	#ARMENIAN CAPITAL LETTER ET
0539; L; 0569;	#ARMENIAN CAPITAL LETTER TO
053A; L; 056A;	#ARMENIAN CAPITAL LETTER ZHE
053B; L; 056B;	#ARMENIAN CAPITAL LETTER INI
053C; L; 056C;	#ARMENIAN CAPITAL LETTER LIWN
053D; L; 056D;	#ARMENIAN CAPITAL LETTER XEH
053E; L; 056E;	#ARMENIAN CAPITAL LETTER CA
053F; L; 056F;	#ARMENIAN CAPITAL LETTER KEN
0540; L; 0570;	#ARMENIAN CAPITAL LETTER HO
0541; L; 0571;	#ARMENIAN CAPITAL LETTER JA
0542; L; 0572;	#ARMENIAN CAPITAL LETTER GHAD
0543; L; 0573;	#ARMENIAN CAPITAL LETTER CHEH
0544; L; 0574;	#ARMENIAN CAPITAL LETTER MEN
0545; L; 0575;	#ARMENIAN CAPITAL LETTER YI
0546; L; 0576;	#ARMENIAN CAPITAL LETTER NOW
0547; L; 0577;	#ARMENIAN CAPITAL LETTER SHA
0548; L; 0578;	#ARMENIAN CAPITAL LETTER VO
0549; L; 0579;	#ARMENIAN CAPITAL LETTER CHA
054A; L; 057A;	#ARMENIAN CAPITAL LETTER PEH
054B; L; 057B;	#ARMENIAN CAPITAL LETTER JHEH
054C; L; 057C;	#ARMENIAN CAPITAL LETTER RA
054D; L; 057D;	#ARMENIAN CAPITAL LETTER SEH
054E; L; 057E;	#ARMENIAN CAPITAL LETTER VEW
054F; L; 057F;	#ARMENIAN CAPITAL LETTER TIWN
0550; L; 0580;	#ARMENIAN CAPITAL LETTER REH
0551; L; 0581;	#ARMENIAN CAPITAL LETTER CO
0552; L; 0582;	#ARMENIAN CAPITAL LETTER YIWN
0553; L; 0583;	#ARMENIAN CAPITAL LETTER PIWR
0554; L; 0584;	#ARMENIAN CAPITAL LETTER KEH
0555; L; 0585;	#ARMENIAN CAPITAL LETTER OH
0556; L; 0586;	#ARMENIAN CAPITAL LETTER FEH
0587; E; 0565 0582;	#ARMENIAN SMALL LIGATURE ECH YIWN
1E00; L; 1E01;	#LATIN CAPITAL LETTER A WITH RING BELOW
1E02; L; 1E03;	#LATIN CAPITAL LETTER B WITH DOT ABOVE
1E04; L; 1E05;	#LATIN CAPITAL LETTER B WITH DOT BELOW
1E06; L; 1E07;	#LATIN CAPITAL LETTER B WITH LINE BELOW
1E08; L; 1E09;	#LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
1E0A; L; 1E0B;	#LATIN CAPITAL LETTER D WITH DOT ABOVE
1E0C; L; 1E0D;	#LATIN CAPITAL LETTER D WITH DOT BELOW
1E0E; L; 1E0F;	#LATIN CAPITAL LETTER D WITH LINE BELOW
1E10; L; 1E11;	#LATIN CAPITAL LETTER D WITH CEDILLA
1E12; L; 1E13;	#LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
1E14; L; 1E15;	#LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
1E16; L; 1E17;	#LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
1E18; L; 1E19;	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
1E1A; L; 1E1B;	#LATIN CAPITAL LETTER E WITH TILDE BELOW
1E1C; L; 1E1D;	#LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
1E1E; L; 1E1F;	#LATIN CAPITAL LETTER F WITH DOT ABOVE
1E20; L; 1E21;	#LATIN CAPITAL LETTER G WITH MACRON
1E22; L; 1E23;	#LATIN CAPITAL LETTER H WITH DOT ABOVE
1E24; L; 1E25;	#LATIN CAPITAL LETTER H WITH DOT BELOW
1E26; L; 1E27;	#LATIN CAPITAL LETTER H WITH DIAERESIS
1E28; L; 1E29;	#LATIN CAPITAL LETTER H WITH CEDILLA
1E2A; L; 1E2B;	#LATIN CAPITAL LETTER H WITH BREVE BELOW
1E2C; L; 1E2D;	#LATIN CAPITAL LETTER I WITH TILDE BELOW
1E2E; L; 1E2F;	#LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
1E30; L; 1E31;	#LATIN CAPITAL LETTER K WITH ACUTE
1E32; L; 1E33;	#LATIN CAPITAL LETTER K WITH DOT BELOW
1E34; L; 1E35;	#LATIN CAPITAL LETTER K WITH LINE BELOW
1E36; L; 1E37;	#LATIN CAPITAL LETTER L WITH DOT BELOW
1E38; L; 1E39;	#LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
1E3A; L; 1E3B;	#LATIN CAPITAL LETTER L WITH LINE BELOW
1E3C; L; 1E3D;	#LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
1E3E; L; 1E3F;	#LATIN CAPITAL LETTER M WITH ACUTE
1E40; L; 1E41;	#LATIN CAPITAL LETTER M WITH DOT ABOVE
1E42; L; 1E43;	#LATIN CAPITAL LETTER M WITH DOT BELOW
1E44; L; 1E45;	#LATIN CAPITAL LETTER N WITH DOT ABOVE
1E46; L; 1E47;	#LATIN CAPITAL LETTER N WITH DOT BELOW
1E48; L; 1E49;	#LATIN CAPITAL LETTER N WITH LINE BELOW
1E4A; L; 1E4B;	#LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
1E4C; L; 1E4D;	#LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
1E4E; L; 1E4F;	#LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
1E50; L; 1E51;	#LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
1E52; L; 1E53;	#LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
1E54; L; 1E55;	#LATIN CAPITAL LETTER P WITH ACUTE
1E56; L; 1E57;	#LATIN CAPITAL LETTER P WITH DOT ABOVE
1E58; L; 1E59;	#LATIN CAPITAL LETTER R WITH DOT ABOVE
1E5A; L; 1E5B;	#LATIN CAPITAL LETTER R WITH DOT BELOW
1E5C; L; 1E5D;	#LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
1E5E; L; 1E5F;	#LATIN CAPITAL LETTER R WITH LINE BELOW
1E60; L; 1E61;	#LATIN CAPITAL LETTER S WITH DOT ABOVE
1E62; L; 1E63;	#LATIN CAPITAL LETTER S WITH DOT BELOW
1E64; L; 1E65;	#LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
1E66; L; 1E67;	#LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
1E68; L; 1E69;	#LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
1E6A; L; 1E6B;	#LATIN CAPITAL LETTER T WITH DOT ABOVE
1E6C; L; 1E6D;	#LATIN CAPITAL LETTER T WITH DOT BELOW
1E6E; L; 1E6F;	#LATIN CAPITAL LETTER T WITH LINE BELOW
1E70; L; 1E71;	#LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
1E72; L; 1E73;	#LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
1E74; L; 1E75;	#LATIN CAPITAL LETTER U WITH TILDE BELOW
1E76; L; 1E77;	#LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
1E78; L; 1E79;	#LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
1E7A; L; 1E7B;	#LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
1E7C; L; 1E7D;	#LATIN CAPITAL LETTER V WITH TILDE
1E7E; L; 1E7F;	#LATIN CAPITAL LETTER V WITH DOT BELOW
1E80; L; 1E81;	#LATIN CAPITAL LETTER W WITH GRAVE
1E82; L; 1E83;	#LATIN CAPITAL LETTER W WITH ACUTE
1E84; L; 1E85;	#LATIN CAPITAL LETTER W WITH DIAERESIS
1E86; L; 1E87;	#LATIN CAPITAL LETTER W WITH DOT ABOVE
1E88; L; 1E89;	#LATIN CAPITAL LETTER W WITH DOT BELOW
1E8A; L; 1E8B;	#LATIN CAPITAL LETTER X WITH DOT ABOVE
1E8C; L; 1E8D;	#LATIN CAPITAL LETTER X WITH DIAERESIS
1E8E; L; 1E8F;	#LATIN CAPITAL LETTER Y WITH DOT ABOVE
1E90; L; 1E91;	#LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
1E92; L; 1E93;	#LATIN CAPITAL LETTER Z WITH DOT BELOW
1E94; L; 1E95;	#LATIN CAPITAL LETTER Z WITH LINE BELOW
1E96; E; 0068 0331;	#LATIN SMALL LETTER H WITH LINE BELOW
1E97; E; 0074 0308;	#LATIN SMALL LETTER T WITH DIAERESIS
1E98; E; 0077 030A;	#LATIN SMALL LETTER W WITH RING ABOVE
1E99; E; 0079 030A;	#LATIN SMALL LETTER Y WITH RING ABOVE
1E9A; E; 0061 02BE;	#LATIN SMALL LETTER A WITH RIGHT HALF RING
1E9B; E; 1E61;	#LATIN SMALL LETTER LONG S WITH DOT ABOVE
1EA0; L; 1EA1;	#LATIN CAPITAL LETTER A WITH DOT BELOW
1EA2; L; 1EA3;	#LATIN CAPITAL LETTER A WITH HOOK ABOVE
1EA4; L; 1EA5;	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
1EA6; L; 1EA7;	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
1EA8; L; 1EA9;	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
1EAA; L; 1EAB;	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
1EAC; L; 1EAD;	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1EAE; L; 1EAF;	#LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
1EB0; L; 1EB1;	#LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
1EB2; L; 1EB3;	#LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
1EB4; L; 1EB5;	#LATIN CAPITAL LETTER A WITH BREVE AND TILDE
1EB6; L; 1EB7;	#LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
1EB8; L; 1EB9;	#LATIN CAPITAL LETTER E WITH DOT BELOW
1EBA; L; 1EBB;	#LATIN CAPITAL LETTER E WITH HOOK ABOVE
1EBC; L; 1EBD;	#LATIN CAPITAL LETTER E WITH TILDE
1EBE; L; 1EBF;	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
1EC0; L; 1EC1;	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC2; L; 1EC3;	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
1EC4; L; 1EC5;	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
1EC6; L; 1EC7;	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1EC8; L; 1EC9;	#LATIN CAPITAL LETTER I WITH HOOK ABOVE
1ECA; L; 1ECB;	#LATIN CAPITAL LETTER I WITH DOT BELOW
1ECC; L; 1ECD;	#LATIN CAPITAL LETTER O WITH DOT BELOW
1ECE; L; 1ECF;	#LATIN CAPITAL LETTER O WITH HOOK ABOVE
1ED0; L; 1ED1;	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
1ED2; L; 1ED3;	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
1ED4; L; 1ED5;	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
1ED6; L; 1ED7;	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
1ED8; L; 1ED9;	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
1EDA; L; 1EDB;	#LATIN CAPITAL LETTER O WITH HORN AND ACUTE
1EDC; L; 1EDD;	#LATIN CAPITAL LETTER O WITH HORN AND GRAVE
1EDE; L; 1EDF;	#LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
1EE0; L; 1EE1;	#LATIN CAPITAL LETTER O WITH HORN AND TILDE
1EE2; L; 1EE3;	#LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
1EE4; L; 1EE5;	#LATIN CAPITAL LETTER U WITH DOT BELOW
1EE6; L; 1EE7;	#LATIN CAPITAL LETTER U WITH HOOK ABOVE
1EE8; L; 1EE9;	#LATIN CAPITAL LETTER U WITH HORN AND ACUTE
1EEA; L; 1EEB;	#LATIN CAPITAL LETTER U WITH HORN AND GRAVE
1EEC; L; 1EED;	#LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
1EEE; L; 1EEF;	#LATIN CAPITAL LETTER U WITH HORN AND TILDE
1EF0; L; 1EF1;	#LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
1EF2; L; 1EF3;	#LATIN CAPITAL LETTER Y WITH GRAVE
1EF4; L; 1EF5;	#LATIN CAPITAL LETTER Y WITH DOT BELOW
1EF6; L; 1EF7;	#LATIN CAPITAL LETTER Y WITH HOOK ABOVE
1EF8; L; 1EF9;	#LATIN CAPITAL LETTER Y WITH TILDE
1F08; L; 1F00;	#GREEK CAPITAL LETTER ALPHA WITH PSILI
1F09; L; 1F01;	#GREEK CAPITAL LETTER ALPHA WITH DASIA
1F0A; L; 1F02;	#GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA
1F0B; L; 1F03;	#GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA
1F0C; L; 1F04;	#GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
1F0D; L; 1F05;	#GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA
1F0E; L; 1F06;	#GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI
1F0F; L; 1F07;	#GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI
1F18; L; 1F10;	#GREEK CAPITAL LETTER EPSILON WITH PSILI
1F19; L; 1F11;	#GREEK CAPITAL LETTER EPSILON WITH DASIA
1F1A; L; 1F12;	#GREEK CAPITAL LETTER EPSILON WITH PSILI AND VARIA
1F1B; L; 1F13;	#GREEK CAPITAL LETTER EPSILON WITH DASIA AND VARIA
1F1C; L; 1F14;	#GREEK CAPITAL LETTER EPSILON WITH PSILI AND OXIA
1F1D; L; 1F15;	#GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F28; L; 1F20;	#GREEK CAPITAL LETTER ETA WITH PSILI
1F29; L; 1F21;	#GREEK CAPITAL LETTER ETA WITH DASIA
1F2A; L; 1F22;	#GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA
1F2B; L; 1F23;	#GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA
1F2C; L; 1F24;	#GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA
1F2D; L; 1F25;	#GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA
1F2E; L; 1F26;	#GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI
1F2F; L; 1F27;	#GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI
1F38; L; 1F30;	#GREEK CAPITAL LETTER IOTA WITH PSILI
1F39; L; 1F31;	#GREEK CAPITAL LETTER IOTA WITH DASIA
1F3A; L; 1F32;	#GREEK CAPITAL LETTER IOTA WITH PSILI AND VARIA
1F3B; L; 1F33;	#GREEK CAPITAL LETTER IOTA WITH DASIA AND VARIA
1F3C; L; 1F34;	#GREEK CAPITAL LETTER IOTA WITH PSILI AND OXIA
1F3D; L; 1F35;	#GREEK CAPITAL LETTER IOTA WITH DASIA AND OXIA
1F3E; L; 1F36;	#GREEK CAPITAL LETTER IOTA WITH PSILI AND PERISPOMENI
1F3F; L; 1F37;	#GREEK CAPITAL LETTER IOTA WITH DASIA AND PERISPOMENI
1F48; L; 1F40;	#GREEK CAPITAL LETTER OMICRON WITH PSILI
1F49; L; 1F41;	#GREEK CAPITAL LETTER OMICRON WITH DASIA
1F4A; L; 1F42;	#GREEK CAPITAL LETTER OMICRON WITH PSILI AND VARIA
1F4B; L; 1F43;	#GREEK CAPITAL LETTER OMICRON WITH DASIA AND VARIA
1F4C; L; 1F44;	#GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA
1F4D; L; 1F45;	#GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F50; E; 03C5 0313;	#GREEK SMALL LETTER UPSILON WITH PSILI
1F52; E; 03C5 0313 0300;	#GREEK SMALL LETTER UPSILON WITH PSILI AND VARIA
1F54; E; 03C5 0313 0301;	#GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
1F56; E; 03C5 0313 0342;	#GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
1F59; L; 1F51;	#GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5B; L; 1F53;	#GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F5D; L; 1F55;	#GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F5F; L; 1F57;	#GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F68; L; 1F60;	#GREEK CAPITAL LETTER OMEGA WITH PSILI
1F69; L; 1F61;	#GREEK CAPITAL LETTER OMEGA WITH DASIA
1F6A; L; 1F62;	#GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA
1F6B; L; 1F63;	#GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA
1F6C; L; 1F64;	#GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA
1F6D; L; 1F65;	#GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA
1F6E; L; 1F66;	#GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI
1F6F; L; 1F67;	#GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI
1F80; E; 1F00 03B9;	#GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI
1F81; E; 1F01 03B9;	#GREEK SMALL LETTER ALPHA WITH DASIA AND YPOGEGRAMMENI
1F82; E; 1F02 03B9;	#GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA AND YPOGEGRAMMENI
1F83; E; 1F03 03B9;	#GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA AND YPOGEGRAMMENI
1F84; E; 1F04 03B9;	#GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI
1F85; E; 1F05 03B9;	#GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA AND YPOGEGRAMMENI
1F86; E; 1F06 03B9;	#GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
1F87; E; 1F07 03B9;	#GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1F88; E; 1F00 03B9;	#GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI
1F89; E; 1F01 03B9;	#GREEK CAPITAL LETTER ALPHA WITH DASIA AND PROSGEGRAMMENI
1F8A; E; 1F02 03B9;	#GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI
1F8B; E; 1F03 03B9;	#GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI
1F8C; E; 1F04 03B9;	#GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA AND PROSGEGRAMMENI
1F8D; E; 1F05 03B9;	#GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMENI
1F8E; E; 1F06 03B9;	#GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
1F8F; E; 1F07 03B9;	#GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1F90; E; 1F20 03B9;	#GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI
1F91; E; 1F21 03B9;	#GREEK SMALL LETTER ETA WITH DASIA AND YPOGEGRAMMENI
1F92; E; 1F22 03B9;	#GREEK SMALL LETTER ETA WITH PSILI AND VARIA AND YPOGEGRAMMENI
1F93; E; 1F23 03B9;	#GREEK SMALL LETTER ETA WITH DASIA AND VARIA AND YPOGEGRAMMENI
1F94; E; 1F24 03B9;	#GREEK SMALL LETTER ETA WITH PSILI AND OXIA AND YPOGEGRAMMENI
1F95; E; 1F25 03B9;	#GREEK SMALL LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI
1F96; E; 1F26 03B9;	#GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
1F97; E; 1F27 03B9;	#GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1F98; E; 1F20 03B9;	#GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI
1F99; E; 1F21 03B9;	#GREEK CAPITAL LETTER ETA WITH DASIA AND PROSGEGRAMMENI
1F9A; E; 1F22 03B9;	#GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA AND PROSGEGRAMMENI
1F9B; E; 1F23 03B9;	#GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA AND PROSGEGRAMMENI
1F9C; E; 1F24 03B9;	#GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA AND PROSGEGRAMMENI
1F9D; E; 1F25 03B9;	#GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA AND PROSGEGRAMMENI
1F9E; E; 1F26 03B9;	#GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
1F9F; E; 1F27 03B9;	#GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FA0; E; 1F60 03B9;	#GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI
1FA1; E; 1F61 03B9;	#GREEK SMALL LETTER OMEGA WITH DASIA AND YPOGEGRAMMENI
1FA2; E; 1F62 03B9;	#GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA AND YPOGEGRAMMENI
1FA3; E; 1F63 03B9;	#GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA AND YPOGEGRAMMENI
1FA4; E; 1F64 03B9;	#GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA AND YPOGEGRAMMENI
1FA5; E; 1F65 03B9;	#GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA AND YPOGEGRAMMENI
1FA6; E; 1F66 03B9;	#GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
1FA7; E; 1F67 03B9;	#GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1FA8; E; 1F60 03B9;	#GREEK CAPITAL LETTER OMEGA WITH PSILI AND PROSGEGRAMMENI
1FA9; E; 1F61 03B9;	#GREEK CAPITAL LETTER OMEGA WITH DASIA AND PROSGEGRAMMENI
1FAA; E; 1F62 03B9;	#GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA AND PROSGEGRAMMENI
1FAB; E; 1F63 03B9;	#GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA AND PROSGEGRAMMENI
1FAC; E; 1F64 03B9;	#GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA AND PROSGEGRAMMENI
1FAD; E; 1F65 03B9;	#GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA AND PROSGEGRAMMENI
1FAE; E; 1F66 03B9;	#GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
1FAF; E; 1F67 03B9;	#GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FB2; E; 1F70 03B9;	#GREEK SMALL LETTER ALPHA WITH VARIA AND YPOGEGRAMMENI
1FB3; E; 03B1 03B9;	#GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI
1FB4; E; 03AC 03B9;	#GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FB6; E; 03B1 0342;	#GREEK SMALL LETTER ALPHA WITH PERISPOMENI
1FB7; E; 03B1 0342 03B9;	#GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI
1FB8; L; 1FB0;	#GREEK CAPITAL LETTER ALPHA WITH VRACHY
1FB9; L; 1FB1;	#GREEK CAPITAL LETTER ALPHA WITH MACRON
1FBA; L; 1F70;	#GREEK CAPITAL LETTER ALPHA WITH VARIA
1FBB; L; 1F71;	#GREEK CAPITAL LETTER ALPHA WITH OXIA
1FBC; E; 03B1 03B9;	#GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
1FBE; E; 03B9;	#GREEK PROSGEGRAMMENI
1FC2; E; 1F74 03B9;	#GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI
1FC3; E; 03B7 03B9;	#GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI
1FC4; E; 03AE 03B9;	#GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
1FC6; E; 03B7 0342;	#GREEK SMALL LETTER ETA WITH PERISPOMENI
1FC7; E; 03B7 0342 03B9;	#GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
1FC8; L; 1F72;	#GREEK CAPITAL LETTER EPSILON WITH VARIA
1FC9; L; 1F73;	#GREEK CAPITAL LETTER EPSILON WITH OXIA
1FCA; L; 1F74;	#GREEK CAPITAL LETTER ETA WITH VARIA
1FCB; L; 1F75;	#GREEK CAPITAL LETTER ETA WITH OXIA
